 schemaname |            tablename             |                         indexname                         |                                                                       indexdef                                                                       
------------+----------------------------------+-----------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | abilities                        | abilities_pkey                                            | CREATE UNIQUE INDEX abilities_pkey ON public.abilities USING btree ("group", model, channel_id)
 public     | abilities                        | idx_abilities_channel_id                                  | CREATE INDEX idx_abilities_channel_id ON public.abilities USING btree (channel_id)
 public     | abilities                        | idx_abilities_priority                                    | CREATE INDEX idx_abilities_priority ON public.abilities USING btree (priority)
 public     | abilities                        | idx_abilities_tag                                         | CREATE INDEX idx_abilities_tag ON public.abilities USING btree (tag)
 public     | abilities                        | idx_abilities_weight                                      | CREATE INDEX idx_abilities_weight ON public.abilities USING btree (weight)
 public     | channels                         | channels_pkey                                             | CREATE UNIQUE INDEX channels_pkey ON public.channels USING btree (id)
 public     | channels                         | idx_channels_name                                         | CREATE INDEX idx_channels_name ON public.channels USING btree (name)
 public     | channels                         | idx_channels_tag                                          | CREATE INDEX idx_channels_tag ON public.channels USING btree (tag)
 public     | checkins                         | checkins_pkey                                             | CREATE UNIQUE INDEX checkins_pkey ON public.checkins USING btree (id)
 public     | checkins                         | idx_user_checkin_date                                     | CREATE UNIQUE INDEX idx_user_checkin_date ON public.checkins USING btree (user_id, checkin_date)
 public     | custom_oauth_providers           | custom_oauth_providers_pkey                               | CREATE UNIQUE INDEX custom_oauth_providers_pkey ON public.custom_oauth_providers USING btree (id)
 public     | custom_oauth_providers           | idx_custom_oauth_providers_slug                           | CREATE UNIQUE INDEX idx_custom_oauth_providers_slug ON public.custom_oauth_providers USING btree (slug)
 public     | logs                             | idx_created_at_id                                         | CREATE INDEX idx_created_at_id ON public.logs USING btree (id, created_at)
 public     | logs                             | idx_created_at_type                                       | CREATE INDEX idx_created_at_type ON public.logs USING btree (created_at, type)
 public     | logs                             | idx_logs_channel_id                                       | CREATE INDEX idx_logs_channel_id ON public.logs USING btree (channel_id)
 public     | logs                             | idx_logs_created_ip_token                                 | CREATE INDEX idx_logs_created_ip_token ON public.logs USING btree (created_at, ip, token_id)
 public     | logs                             | idx_logs_created_token_ip                                 | CREATE INDEX idx_logs_created_token_ip ON public.logs USING btree (created_at, token_id, ip)
 public     | logs                             | idx_logs_created_type_user                                | CREATE INDEX idx_logs_created_type_user ON public.logs USING btree (created_at, type, user_id)
 public     | logs                             | idx_logs_group                                            | CREATE INDEX idx_logs_group ON public.logs USING btree ("group")
