            table_name            |        column_name         |        data_type         | character_maximum_length | is_nullable |                        column_default                        
----------------------------------+----------------------------+--------------------------+--------------------------+-------------+--------------------------------------------------------------
 abilities                        | group                      | character varying        |                       64 | NO          | 
 abilities                        | model                      | character varying        |                      255 | NO          | 
 abilities                        | channel_id                 | bigint                   |                          | NO          | 
 abilities                        | enabled                    | boolean                  |                          | YES         | 
 abilities                        | priority                   | bigint                   |                          | YES         | 0
 abilities                        | weight                     | bigint                   |                          | YES         | 0
 abilities                        | tag                        | text                     |                          | YES         | 
 channels                         | id                         | bigint                   |                          | NO          | nextval('channels_id_seq'::regclass)
 channels                         | type                       | bigint                   |                          | YES         | 0
 channels                         | key                        | text                     |                          | NO          | 
 channels                         | open_ai_organization       | text                     |                          | YES         | 
 channels                         | test_model                 | text                     |                          | YES         | 
 channels                         | status                     | bigint                   |                          | YES         | 1
 channels                         | name                       | text                     |                          | YES         | 
 channels                         | weight                     | bigint                   |                          | YES         | 0
 channels                         | created_time               | bigint                   |                          | YES         | 
 channels                         | test_time                  | bigint                   |                          | YES         | 
 channels                         | response_time              | bigint                   |                          | YES         | 
 channels                         | base_url                   | text                     |                          | YES         | ''::text
 channels                         | other                      | text                     |                          | YES         | 
 channels                         | balance                    | numeric                  |                          | YES         | 
 channels                         | balance_updated_time       | bigint                   |                          | YES         | 
 channels                         | models                     | text                     |                          | YES         | 
 channels                         | group                      | character varying        |                       64 | YES         | 'default'::character varying
 channels                         | used_quota                 | bigint                   |                          | YES         | 0
 channels                         | model_mapping              | text                     |                          | YES         | 
 channels                         | status_code_mapping        | character varying        |                     1024 | YES         | ''::character varying
 channels                         | priority                   | bigint                   |                          | YES         | 0
 channels                         | auto_ban                   | bigint                   |                          | YES         | 1
 channels                         | other_info                 | text                     |                          | YES         | 
 channels                         | tag                        | text                     |                          | YES         | 
 channels                         | setting                    | text                     |                          | YES         | 
 channels                         | param_override             | text                     |                          | YES         | 
 channels                         | header_override            | text                     |                          | YES         | 
 channels                         | remark                     | character varying        |                      255 | YES         | 
 channels                         | channel_info               | json                     |                          | YES         | 
 channels                         | settings                   | text                     |                          | YES         | 
 checkins                         | id                         | bigint                   |                          | NO          | nextval('checkins_id_seq'::regclass)
 checkins                         | user_id                    | bigint                   |                          | NO          | 
 checkins                         | checkin_date               | character varying        |                       10 | NO          | 
 checkins                         | quota_awarded              | bigint                   |                          | NO          | 
 checkins                         | created_at                 | bigint                   |                          | YES         | 
 custom_oauth_providers           | id                         | bigint                   |                          | NO          | nextval('custom_oauth_providers_id_seq'::regclass)
 custom_oauth_providers           | name                       | character varying        |                       64 | NO          | 
 custom_oauth_providers           | slug                       | character varying        |                       64 | NO          | 
 custom_oauth_providers           | enabled                    | boolean                  |                          | YES         | false
 custom_oauth_providers           | client_id                  | character varying        |                      256 | YES         | 
 custom_oauth_providers           | client_secret              | character varying        |                      512 | YES         | 
 custom_oauth_providers           | authorization_endpoint     | character varying        |                      512 | YES         | 
 custom_oauth_providers           | token_endpoint             | character varying        |                      512 | YES         | 
 custom_oauth_providers           | user_info_endpoint         | character varying        |                      512 | YES         | 
 custom_oauth_providers           | scopes                     | character varying        |                      256 | YES         | 'openid profile email'::character varying
 custom_oauth_providers           | user_id_field              | character varying        |                      128 | YES         | 'sub'::character varying
 custom_oauth_providers           | username_field             | character varying        |                      128 | YES         | 'preferred_username'::character varying
 custom_oauth_providers           | display_name_field         | character varying        |                      128 | YES         | 'name'::character varying
 custom_oauth_providers           | email_field                | character varying        |                      128 | YES         | 'email'::character varying
 custom_oauth_providers           | well_known                 | character varying        |                      512 | YES         | 
 custom_oauth_providers           | auth_style                 | bigint                   |                          | YES         | 0
 custom_oauth_providers           | created_at                 | timestamp with time zone |                          | YES         | 
 custom_oauth_providers           | updated_at                 | timestamp with time zone |                          | YES         | 
 custom_oauth_providers           | icon                       | character varying        |                      128 | YES         | ''::character varying
 custom_oauth_providers           | access_policy              | text                     |                          | YES         | 
 custom_oauth_providers           | access_denied_message      | character varying        |                      512 | YES         | 
 logs                             | id                         | bigint                   |                          | NO          | nextval('logs_id_seq'::regclass)
 logs                             | user_id                    | bigint                   |                          | YES         | 
 logs                             | created_at                 | bigint                   |                          | YES         | 
 logs                             | type                       | bigint                   |                          | YES         | 
 logs                             | content                    | text                     |                          | YES         | 
 logs                             | username                   | text                     |                          | YES         | ''::text
 logs                             | token_name                 | text                     |                          | YES         | ''::text
 logs                             | model_name                 | text                     |                          | YES         | ''::text
 logs                             | quota                      | bigint                   |                          | YES         | 0
 logs                             | prompt_tokens              | bigint                   |                          | YES         | 0
 logs                             | completion_tokens          | bigint                   |                          | YES         | 0
 logs                             | use_time                   | bigint                   |                          | YES         | 0
 logs                             | is_stream                  | boolean                  |                          | YES         | 
 logs                             | channel_id                 | bigint                   |                          | YES         | 
 logs                             | channel_name               | text                     |                          | YES         | 
 logs                             | token_id                   | bigint                   |                          | YES         | 0
 logs                             | group                      | text                     |                          | YES         | 
 logs                             | ip                         | text                     |                          | YES         | ''::text
 logs                             | other                      | text                     |                          | YES         | 
 logs                             | request_id                 | character varying        |                       64 | YES         | ''::character varying
 midjourneys                      | id                         | bigint                   |                          | NO          | nextval('midjourneys_id_seq'::regclass)
 midjourneys                      | code                       | bigint                   |                          | YES         | 
 midjourneys                      | user_id                    | bigint                   |                          | YES         | 
 midjourneys                      | action                     | character varying        |                       40 | YES         | 
 midjourneys                      | mj_id                      | text                     |                          | YES         | 
 midjourneys                      | prompt                     | text                     |                          | YES         | 
 midjourneys                      | prompt_en                  | text                     |                          | YES         | 
