            table_name            |        column_name         |        data_type         
----------------------------------+----------------------------+--------------------------
 abilities                        | group                      | character varying
 abilities                        | model                      | character varying
 abilities                        | channel_id                 | bigint
 abilities                        | enabled                    | boolean
 abilities                        | priority                   | bigint
 abilities                        | weight                     | bigint
 abilities                        | tag                        | text
 channels                         | id                         | bigint
 channels                         | type                       | bigint
 channels                         | key                        | text
 channels                         | open_ai_organization       | text
 channels                         | test_model                 | text
 channels                         | status                     | bigint
 channels                         | name                       | text
 channels                         | weight                     | bigint
 channels                         | created_time               | bigint
 channels                         | test_time                  | bigint
 channels                         | response_time              | bigint
 channels                         | base_url                   | text
 channels                         | other                      | text
 channels                         | balance                    | numeric
 channels                         | balance_updated_time       | bigint
 channels                         | models                     | text
 channels                         | group                      | character varying
 channels                         | used_quota                 | bigint
 channels                         | model_mapping              | text
 channels                         | status_code_mapping        | character varying
 channels                         | priority                   | bigint
 channels                         | auto_ban                   | bigint
 channels                         | other_info                 | text
 channels                         | tag                        | text
 channels                         | setting                    | text
 channels                         | param_override             | text
 channels                         | header_override            | text
 channels                         | remark                     | character varying
 channels                         | channel_info               | json
 channels                         | settings                   | text
 checkins                         | id                         | bigint
 checkins                         | user_id                    | bigint
 checkins                         | checkin_date               | character varying
 checkins                         | quota_awarded              | bigint
 checkins                         | created_at                 | bigint
 custom_oauth_providers           | id                         | bigint
 custom_oauth_providers           | name                       | character varying
 custom_oauth_providers           | slug                       | character varying
 custom_oauth_providers           | enabled                    | boolean
 custom_oauth_providers           | client_id                  | character varying
 custom_oauth_providers           | client_secret              | character varying
 custom_oauth_providers           | authorization_endpoint     | character varying
 custom_oauth_providers           | token_endpoint             | character varying
 custom_oauth_providers           | user_info_endpoint         | character varying
 custom_oauth_providers           | scopes                     | character varying
 custom_oauth_providers           | user_id_field              | character varying
 custom_oauth_providers           | username_field             | character varying
 custom_oauth_providers           | display_name_field         | character varying
 custom_oauth_providers           | email_field                | character varying
 custom_oauth_providers           | well_known                 | character varying
 custom_oauth_providers           | auth_style                 | bigint
 custom_oauth_providers           | created_at                 | timestamp with time zone
 custom_oauth_providers           | updated_at                 | timestamp with time zone
 custom_oauth_providers           | icon                       | character varying
 custom_oauth_providers           | access_policy              | text
 custom_oauth_providers           | access_denied_message      | character varying
 logs                             | id                         | bigint
 logs                             | user_id                    | bigint
 logs                             | created_at                 | bigint
 logs                             | type                       | bigint
 logs                             | content                    | text
 logs                             | username                   | text
 logs                             | token_name                 | text
 logs                             | model_name                 | text
 logs                             | quota                      | bigint
 logs                             | prompt_tokens              | bigint
 logs                             | completion_tokens          | bigint
 logs                             | use_time                   | bigint
 logs                             | is_stream                  | boolean
 logs                             | channel_id                 | bigint
 logs                             | channel_name               | text
 logs                             | token_id                   | bigint
 logs                             | group                      | text
 logs                             | ip                         | text
 logs                             | other                      | text
 logs                             | request_id                 | character varying
 midjourneys                      | id                         | bigint
 midjourneys                      | code                       | bigint
 midjourneys                      | user_id                    | bigint
 midjourneys                      | action                     | character varying
 midjourneys                      | mj_id                      | text
 midjourneys                      | prompt                     | text
 midjourneys                      | prompt_en                  | text
 midjourneys                      | description                | text
 midjourneys                      | state                      | text
 midjourneys                      | submit_time                | bigint
 midjourneys                      | start_time                 | bigint
 midjourneys                      | finish_time                | bigint
 midjourneys                      | image_url                  | text
 midjourneys                      | video_url                  | text
 midjourneys                      | video_urls                 | text
 midjourneys                      | status                     | character varying
 midjourneys                      | progress                   | character varying
 midjourneys                      | fail_reason                | text
 midjourneys                      | channel_id                 | bigint
 midjourneys                      | quota                      | bigint
 midjourneys                      | buttons                    | text
 midjourneys                      | properties                 | text
 models                           | id                         | bigint
 models                           | model_name                 | character varying
 models                           | description                | text
 models                           | icon                       | character varying
 models                           | tags                       | character varying
 models                           | vendor_id                  | bigint
 models                           | endpoints                  | text
 models                           | status                     | bigint
 models                           | sync_official              | bigint
 models                           | created_time               | bigint
 models                           | updated_time               | bigint
 models                           | deleted_at                 | timestamp with time zone
 models                           | name_rule                  | bigint
 options                          | key                        | text
 options                          | value                      | text
 passkey_credentials              | id                         | bigint
